category,term,hebrew_term,wikipedia_en,wikipedia_he,wikidata_id,father,student_of,student,date_of_birth,place_of_birth,date_of_death,place_of_death
Biblical,Abiasaph,אביאסף בן קרח,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%90%D7%A1%D7%A3_%D7%91%D7%9F_%D7%A7%D7%A8%D7%97,Q11684128,Korah / קורח,,,,,,
Biblical,Abidan,אבידן בן גדעוני,https://en.wikipedia.org/wiki/Abidan,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%93%D7%9F_%D7%91%D7%9F_%D7%92%D7%93%D7%A2%D7%95%D7%A0%D7%99,Q3494535,Gideoni / גדעוני,,,,,,
Biblical,Abiezer,אביעזר,https://en.wikipedia.org/wiki/Abiezer,,Q2914121,,,,,,,
Biblical,Abiezer,אביעזר,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%A2%D7%96%D7%A8_%28%D7%A9%D7%91%D7%98_%D7%9E%D7%A0%D7%A9%D7%94%29,Q20501924,Hepher / חפר,,,,,,
Biblical,Abigail,אביגיל בת ישי,https://en.wikipedia.org/wiki/Abigail_%28mother_of_Amasa%29,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%92%D7%99%D7%9C_%D7%91%D7%AA_%D7%99%D7%A9%D7%99,Q3603697,Jesse / ישי,,,,,,
Biblical,Abigail,אביגיל,https://en.wikipedia.org/wiki/Abigail,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%92%D7%99%D7%9C,Q4416778,,,,11c BCE,,10c BCE,
Biblical,Abihail,אביחיל,https://en.wikipedia.org/wiki/Abihail,,Q4667729,,,,,,,
Biblical,Abijah,אביה,https://en.wikipedia.org/wiki/Abijah_%28queen%29,,Q3603705,Zechariah,,,,,,
Biblical; Biblical kings,Abijah,אביה,https://en.wikipedia.org/wiki/Abijah_of_Judah,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%94_%28%D7%9E%D7%9C%D7%9A_%D7%99%D7%94%D7%95%D7%93%D7%94%29,Q273517,Rehoboam / רחבעם,,,950 BCE,Jerusalem / ירושלים,911 BCE,Jerusalem / ירושלים
Biblical,Abijah,אביה,https://en.wikipedia.org/wiki/Abijah,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%94,Q321187,,,,,,,
Biblical,Abimelech,אבימלך מלך גרר,https://en.wikipedia.org/wiki/Abimelech,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%9E%D7%9C%D7%9A_%D7%9E%D7%9C%D7%9A_%D7%92%D7%A8%D7%A8,Q1343803,,,,,,,
Biblical,Abinoam,אבינעם,https://en.wikipedia.org/wiki/Abinoam,,Q4667882,,,,,,,
Biblical,Abiram,Abiram,https://en.wikipedia.org/wiki/Abiram,,Q106827501,,,,,,,
Biblical,Abiud,אביהוד,https://en.wikipedia.org/wiki/Abihud,,Q321170,Zerubbabel / זרובבל בן שאלתיאל,,,,,,
