category,term,hebrew_term,wikipedia_en,wikipedia_he,wikidata_id,father,student_of,student,date_of_birth,place_of_birth,date_of_death,place_of_death
Biblical,Ethni,אתני בן זרח,https://en.wikipedia.org/wiki/Ethni,,Q5404150,Zerah / זרח בן עדיה,,,,,,
Tannaim,Eurydemus ben Jose,Eurydemus ben Jose,https://en.wikipedia.org/wiki/Eurydemus_ben_Jose,,Q113349125,,,,,,,
Biblical,Eve,חוה,https://en.wikipedia.org/wiki/Eve,https://he.wikipedia.org/wiki/%D7%97%D7%95%D7%94,Q830183,,,,3760 BCE,Garden of Eden / גן עדן,,
Geonim; Rishonim,"Evyatar ben Eliyahu, Ha-Kohen",רב אביתר גאון,https://en.wikipedia.org/wiki/Abiathar_ben_Elijah_ha-Cohen,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%91%D7%99%D7%AA%D7%A8_%D7%92%D7%90%D7%95%D7%9F,Q7058741,,,,1042; 1040,Jund al-Urdunn / ג'ונד אל אורדון,1112; 1109,Kingdom of Jerusalem / ממלכת ירושלים
Biblical,Ezekiel,יחזקאל,https://en.wikipedia.org/wiki/Ezekiel,https://he.wikipedia.org/wiki/%D7%99%D7%97%D7%96%D7%A7%D7%90%D7%9C,Q194064,,,,621 BCE,Jerusalem / ירושלים,571 BCE,Babylon / בבל
Biblical,Ezra,עזרא הסופר,https://en.wikipedia.org/wiki/Ezra,https://he.wikipedia.org/wiki/%D7%A2%D7%96%D7%A8%D7%90_%D7%94%D7%A1%D7%95%D7%A4%D7%A8,Q191787,Seraiah / שריה,Baruch ben Neriah / ברוך בן נריה,Simeon the Just / שמעון הצדיק,,Babylon / בבל,,Judea / יהודה
Geonim; Rishonim,Ezra ben Abraham,Ezra ben Abraham,https://en.wikipedia.org/wiki/Ezra_ben_Abraham,,Q119805632,,,,,,,
Geonim,Ezrun,Ezrun,https://en.wikipedia.org/wiki/Ezrun,,Q118868628,,,,,,,
Biblical,Gaal,געל בן עבד,https://en.wikipedia.org/wiki/Gaal_%28biblical_figure%29,https://he.wikipedia.org/wiki/%D7%92%D7%A2%D7%9C_%D7%91%D7%9F_%D7%A2%D7%91%D7%93,Q10287821,Ebed,,,,,,
Biblical,Gabriel,גבריאל,https://en.wikipedia.org/wiki/Gabriel,https://he.wikipedia.org/wiki/%D7%92%D7%91%D7%A8%D7%99%D7%90%D7%9C,Q81989,,,,,,,
Biblical,Gad,גד,https://en.wikipedia.org/wiki/Gad_%28son_of_Jacob%29,https://he.wikipedia.org/wiki/%D7%92%D7%93,Q851749,Jacob / יעקב,,,1564 BCE,,1439 BCE,
Biblical,Gad,גד החוזה,https://en.wikipedia.org/wiki/Gad_%28prophet%29,https://he.wikipedia.org/wiki/%D7%92%D7%93_%D7%94%D7%97%D7%95%D7%96%D7%94,Q2559051,,,,,,,
Tannaim,Gamaliel,רבן גמליאל הזקן,https://en.wikipedia.org/wiki/Gamaliel,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%9F_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9C_%D7%94%D7%96%D7%A7%D7%9F,Q310584,Simeon ben Hillel / שמעון בן הלל,Simeon ben Hillel / שמעון בן הלל,Simeon ben Gamliel / רבן שמעון בן גמליאל הזקן,1c BCE,,0052; 0050,Judaea / פרובינקיה יודיאה
Tannaim,Gamaliel II,רבן גמליאל דיבנה,https://en.wikipedia.org/wiki/Gamaliel_II,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%9F_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9C_%D7%93%D7%99%D7%91%D7%A0%D7%94,Q1492866,Simeon ben Gamliel / רבן שמעון בן גמליאל הזקן,Simeon ben Gamliel / רבן שמעון בן גמליאל הזקן,Simeon ben Gamliel II / רבן שמעון בן גמליאל,1c,Jerusalem / ירושלים,0114,Lod / לוד
Tannaim,Gamaliel III,רבן גמליאל ברבי,https://en.wikipedia.org/wiki/Gamaliel_III,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%9F_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9C_%D7%91%D7%A8%D7%91%D7%99,Q357157,Judah ha-Nasi / רבי יהודה הנשיא,,,3c,Syria Palaestina / סוריה פלשתינה,0235,Syria Palaestina / סוריה פלשתינה
Biblical,Gareb,גרב,https://en.wikipedia.org/wiki/Garev,,Q5522744,,,,,,,
Biblical,Gedaliah,גדליהו בן אחיקם,https://en.wikipedia.org/wiki/Gedaliah,https://he.wikipedia.org/wiki/%D7%92%D7%93%D7%9C%D7%99%D7%94%D7%95_%D7%91%D7%9F_%D7%90%D7%97%D7%99%D7%A7%D7%9D,Q1497453,Ahikam / אחיקם,,,,,6c BCE,
Biblical,Gedaliah son of Pashhur,גדליהו בן פשחור,https://en.wikipedia.org/wiki/Gedaliah%2C_son_of_Pashhur,https://he.wikipedia.org/wiki/%D7%92%D7%93%D7%9C%D7%99%D7%94%D7%95_%D7%91%D7%9F_%D7%A4%D7%A9%D7%97%D7%95%D7%A8,Q5529646,,,,,,,
Biblical,Gehazi,גיחזי,https://en.wikipedia.org/wiki/Gehazi,https://he.wikipedia.org/wiki/%D7%92%D7%99%D7%97%D7%96%D7%99,Q977435,,,,,,,
Biblical,Gershom,גרשום,https://en.wikipedia.org/wiki/Gershom,https://he.wikipedia.org/wiki/%D7%92%D7%A8%D7%A9%D7%95%D7%9D_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q1514983,Moses / משה,,,,,,
Biblical,Gershon,גרשון,https://en.wikipedia.org/wiki/Gershon,https://he.wikipedia.org/wiki/%D7%92%D7%A8%D7%A9%D7%95%D7%9F,Q2915121,Levi / לוי,,,,,,
Medieval Jewish,Gersonides,"רלב""ג",https://en.wikipedia.org/wiki/Gersonides,https://he.wikipedia.org/wiki/%D7%A8%D7%9C%D7%91%22%D7%92,Q353633,Gerson ben Solomon Catalan / גרשון בן שלמה,,,1288,Bagnols-sur-Cèze / באניול-סור-סז,1344-04-20,Perpignan / פרפיניאן; Avignon / אביניון
Biblical,Gether,גתר,https://en.wikipedia.org/wiki/Gether,https://he.wikipedia.org/wiki/%D7%92%D7%AA%D7%A8,Q2910407,Aram / ארם,,,,,,
Biblical,Gideon,גדעון בן יואש,https://en.wikipedia.org/wiki/Gideon,https://he.wikipedia.org/wiki/%D7%92%D7%93%D7%A2%D7%95%D7%9F_%D7%91%D7%9F_%D7%99%D7%95%D7%90%D7%A9,Q176125,Joash / יואש,,,1252 BCE,Ophrah / עפרה,1152 BCE,Ophrah / עפרה
Biblical,Gilead,הגלעד,https://en.wikipedia.org/wiki/Gilead,https://he.wikipedia.org/wiki/%D7%94%D7%92%D7%9C%D7%A2%D7%93,Q922498,,,,,,,
Biblical,Gog and Magog,מלחמת גוג ומגוג,https://en.wikipedia.org/wiki/Gog_and_Magog,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%92%D7%95%D7%92_%D7%95%D7%9E%D7%92%D7%95%D7%92,Q629060,,,,,,,
Biblical,Gomer,גומר בת דבליים,https://en.wikipedia.org/wiki/Gomer_%28wife_of_Hosea%29,https://he.wikipedia.org/wiki/%D7%92%D7%95%D7%9E%D7%A8_%D7%91%D7%AA_%D7%93%D7%91%D7%9C%D7%99%D7%99%D7%9D,Q5581166,Diblaim,,,,,,
Biblical,Habakkuk,חבקוק,https://en.wikipedia.org/wiki/Habakkuk,https://he.wikipedia.org/wiki/%D7%97%D7%91%D7%A7%D7%95%D7%A7,Q135106,,Nahum / נחום,Zephaniah / צפניה בן כושי,626 BCE,,6c BCE,Judea / יהודה
Biblical,Hachaliah,חכליה,https://en.wikipedia.org/wiki/Hachaliah,,Q5637034,,,,,,,
Biblical,Haggai,חגי,https://en.wikipedia.org/wiki/Haggai,https://he.wikipedia.org/wiki/%D7%97%D7%92%D7%99,Q1613144,,,,6c BCE,,,
Geonim,Hai Gaon,רב האי גאון,https://en.wikipedia.org/wiki/Hai_ben_Sherira,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%94%D7%90%D7%99_%D7%92%D7%90%D7%95%D7%9F,Q982194,Sherira Gaon / רב שרירא גאון,,Samuel ibn Naghrillah / שמואל הנגיד,0939,,1038-03-28; 1038; 1038,
Tannaim,Halafta,רבי חלפתא,https://en.wikipedia.org/wiki/Halafta,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%9C%D7%A4%D7%AA%D7%90,Q2897331,,,,2c,Sepphoris / ציפורי,2c,
Tannaim,Hama bar Bisa,רבי חמא בר ביסא,https://en.wikipedia.org/wiki/Hama_bar_Bisa,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%9E%D7%90_%D7%91%D7%A8_%D7%91%D7%99%D7%A1%D7%90,Q112229365,,,,,,,
Tannaim,Hamnuna Saba,רב המנונא סבא,https://en.wikipedia.org/wiki/Hamnuna_Saba,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%94%D7%9E%D7%A0%D7%95%D7%A0%D7%90_%D7%A1%D7%91%D7%90_%28%D7%90%D7%9E%D7%95%D7%A8%D7%90%29,Q100154111,,Abba Arika / רב; Adda bar Ahavah / רב אדא בר אהבה; Rav Itzhak Bar Ashian / רב יצחק בר אשיאן,Rabbah b. Shela / רבה בר רב שילא,,,,
Biblical,Hanamel,חנמאל בן שלום,,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%9E%D7%90%D7%9C_%D7%91%D7%9F_%D7%A9%D7%9C%D7%95%D7%9D,Q11689901,Shallum,,,6c BCE,,,
Geonim,Hanan of Iskiya,חנן מאישקיא,https://en.wikipedia.org/wiki/Hanan_of_Iskiya,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%9F_%D7%9E%D7%90%D7%99%D7%A9%D7%A7%D7%99%D7%90,Q2902764,,,,,Babylon / בבל,,
Tannaim,Hanan the Egyptian,חנן המצרי,https://en.wikipedia.org/wiki/Hanan_the_Egyptian,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%9F_%D7%94%D7%9E%D7%A6%D7%A8%D7%99,Q2892486,,,,2c,Alexandria / אלכסנדריה,,
Biblical,Hanani,חנני הרואה,https://en.wikipedia.org/wiki/Hanani,,Q5646913,,,,,,,
Biblical,Hanani,חנני,,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%A0%D7%99_%D7%94%D7%A8%D7%95%D7%90%D7%94,Q10293838,,,,9c BCE,,9c BCE,
Biblical,Hananiah,חנניה בן עזור,,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%A0%D7%99%D7%94_%D7%91%D7%9F_%D7%A2%D7%96%D7%95%D7%A8,Q6644516,Azzur (book of Jeremiah),,,,,,
Tannaim,Hananiah b. Hezekiah b. Garon,חנניה בן חזקיה,https://en.wikipedia.org/wiki/Hananiah_ben_Hezekiah_ben_Garon,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%A0%D7%99%D7%94_%D7%91%D7%9F_%D7%97%D7%96%D7%A7%D7%99%D7%94,Q2069730,,,,,Mesopotamia / מסופוטמיה,,Israel / ישראל
Tannaim,Hananiah ben Akavia,רבי חנניא בן עקביא,https://en.wikipedia.org/wiki/Hananiah_ben_Akavia,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%A0%D7%99%D7%90_%D7%91%D7%9F_%D7%A2%D7%A7%D7%91%D7%99%D7%90,Q6931352,,,,,,,
Amoraim; Tannaim,Hanina bar Hama,רבי חנינא בר חמא,https://en.wikipedia.org/wiki/Hanina_bar_Hama,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%91%D7%A8_%D7%97%D7%9E%D7%90,Q1062209,,,Johanan bar Nappaha / רבי יוחנן,0200,Babylon / בבל,0250,Syria Palaestina / סוריה פלשתינה
Tannaim,Hanina ben Antigonus,רבי חנינא בן אנטיגנוס,https://en.wikipedia.org/wiki/Hanina_ben_Antigonus,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%91%D7%9F_%D7%90%D7%A0%D7%98%D7%99%D7%92%D7%A0%D7%95%D7%A1,Q2070213,,,,2c,Rome / רומא,,
Tannaim,Hanina ben Dosa,רבי חנינא בן דוסא,https://en.wikipedia.org/wiki/Hanina_ben_Dosa,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%91%D7%9F_%D7%93%D7%95%D7%A1%D7%90,Q568935,,Johanan ben Zakai / רבן יוחנן בן זכאי,,1c,Israel / ישראל,1c,Judaea / פרובינקיה יודיאה
Tannaim,Hanina ben Gamaliel,רבי חנינא בן גמליאל,,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%91%D7%9F_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9C,Q20608162,Gamaliel II / רבן גמליאל דיבנה,,,,,,
Tannaim,Hanina ben Hakinai,רבי חנינא בן חכינאי,https://en.wikipedia.org/wiki/Hanina_ben_Hakinai,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%A0%D7%99%D7%94_%D7%91%D7%9F_%D7%97%D7%9B%D7%99%D7%A0%D7%90%D7%99,Q2070205,,,,2c,Judaea / פרובינקיה יודיאה,,
Tannaim,Hanina Segan ha-Kohanim,רבי חנינא סגן הכהנים,https://en.wikipedia.org/wiki/Hanina_Segan_ha-Kohanim,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%A1%D7%92%D7%9F_%D7%94%D7%9B%D7%94%D7%A0%D7%99%D7%9D,Q578079,,,,1c BCE,Israel / ישראל,1c,
Tannaim,Haninah,חנניה בן אחי רבי יהושע,https://en.wikipedia.org/wiki/Haninah_ben_Ahi_R._Joshua,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%A0%D7%99%D7%94_%D7%91%D7%9F_%D7%90%D7%97%D7%99_%D7%A8%D7%91%D7%99_%D7%99%D7%94%D7%95%D7%A9%D7%A2,Q1061616,,,,,Land of Israel / ארץ ישראל,2c,Babylon / בבל
Tannaim,Haninah ben Teradion,רבי חנינא בן תרדיון,https://en.wikipedia.org/wiki/Haninah_ben_Teradion,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%A0%D7%99%D7%94_%D7%91%D7%9F_%D7%AA%D7%A8%D7%93%D7%99%D7%95%D7%9F,Q982179,,,,1c,Israel / ישראל,2c,Syria Palaestina / סוריה פלשתינה
Geonim,Haninai Kahana ben R. Huna,חנינאי כהנא בן הונא גאון,https://en.wikipedia.org/wiki/Haninai_Kahana_ben_R._Huna,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%99%D7%A0%D7%90%D7%99_%D7%9B%D7%94%D7%A0%D7%90_%D7%91%D7%9F_%D7%94%D7%95%D7%A0%D7%90_%D7%92%D7%90%D7%95%D7%9F,Q6633921,,,,,,,
Biblical,Hannah,חנה,https://en.wikipedia.org/wiki/Hannah_%28biblical_figure%29,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%94,Q2346367,,,,12c BCE,,11c BCE,
Tannaim,Har Hillel,הר הלל,,https://he.wikipedia.org/wiki/%D7%94%D7%A8_%D7%94%D7%9C%D7%9C,Q7211344,,,,,,,
Medieval Jewish,Hasdai Crescas,חסדאי קרשקש,https://en.wikipedia.org/wiki/Hasdai_Crescas,https://he.wikipedia.org/wiki/%D7%97%D7%A1%D7%93%D7%90%D7%99_%D7%A7%D7%A8%D7%A9%D7%A7%D7%A9,Q528415,,"Nissim of Gerona / ר""ן; Jonah de Maistre / יונה דיסמאשתרי","Isaac ben Sheshet / ריב""ש; Joseph Albo / יוסף אלבו; Abraham ben Judah Leon; Joseph ibn Habib / יוסף חביבא; Zerachja ben Jicchak / זרחיה הלוי סלדין",1340,Barcelona / ברצלונה,1410; 1412,Zaragoza / סרגוסה
Biblical,Hazarmaveth,חצרמות,https://en.wikipedia.org/wiki/Hazarmaveth,https://he.wikipedia.org/wiki/%D7%97%D7%A6%D7%A8%D7%9E%D7%95%D7%AA_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q2905463,Joktan / יקטן,,,,,,
Biblical,Hazelelponi,הצללפוני,https://en.wikipedia.org/wiki/Hazzelelponi,https://he.wikipedia.org/wiki/%D7%94%D7%A6%D7%9C%D7%9C%D7%A4%D7%95%D7%A0%D7%99,Q5688071,,,,,,,
Rishonim,Haïm ben Hananel haCohen,חיים כהן,https://en.wikipedia.org/wiki/Haim_ben_Hananel_HaCohen,https://he.wikipedia.org/wiki/%D7%97%D7%99%D7%99%D7%9D_%D7%9B%D7%94%D7%9F_%28%D7%9E%D7%91%D7%A2%D7%9C%D7%99_%D7%94%D7%AA%D7%95%D7%A1%D7%A4%D7%95%D7%AA%29,Q3128926,,,,,,,
Biblical,Heber the Kenite,חבר הקיני,https://en.wikipedia.org/wiki/Heber_the_Kenite,https://he.wikipedia.org/wiki/%D7%97%D7%91%D7%A8_%D7%94%D7%A7%D7%99%D7%A0%D7%99,Q13365793,,,,,,,
Geonim,Hefetz Gaon,חפץ בן יצליח,,https://he.wikipedia.org/wiki/%D7%97%D7%A4%D7%A5_%D7%91%D7%9F_%D7%99%D7%A6%D7%9C%D7%99%D7%97,Q79227292,,,,0950,,1000,
Amoraim,Helbo,רבי חלבו,https://en.wikipedia.org/wiki/Helbo,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%9C%D7%91%D7%95,Q1069053,,,Berechja,3c,,4c,
Biblical,Heman the Ezrahite,הימן האזרחי,https://en.wikipedia.org/wiki/Heman_the_Ezrahite,https://he.wikipedia.org/wiki/%D7%94%D7%99%D7%9E%D7%9F_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q3307159,,,,,,,
Biblical,Hephzibah,חפצי-בה,https://en.wikipedia.org/wiki/Hephzibah,https://he.wikipedia.org/wiki/%D7%97%D7%A4%D7%A6%D7%99-%D7%91%D7%94,Q114771167,,,,,,,
Biblical,Herod the Great,הורדוס,https://en.wikipedia.org/wiki/Herod_the_Great,https://he.wikipedia.org/wiki/%D7%94%D7%95%D7%A8%D7%93%D7%95%D7%A1,Q51672,Antipater the Idumaean / אנטיפטרוס האדומי,,,74 BCE,Edom / אדום,4 BCE,Jericho / יריחו
Biblical kings,Hezekiah,חזקיהו,https://en.wikipedia.org/wiki/Hezekiah,https://he.wikipedia.org/wiki/%D7%97%D7%96%D7%A7%D7%99%D7%94%D7%95,Q244912,Ahaz / אחז,,,741 BCE,Jerusalem / ירושלים,686 BCE,Jerusalem / ירושלים
Tannaim,Hezekiah,חזקיה בן רבי חייא,https://en.wikipedia.org/wiki/Hezekiah_%28Amora%29,https://he.wikipedia.org/wiki/%D7%97%D7%96%D7%A7%D7%99%D7%94_%D7%91%D7%9F_%D7%A8%D7%91%D7%99_%D7%97%D7%99%D7%99%D7%90,Q5749989,Hiyya the Great / רבי חייא,,,,,,
Geonim,Hezekiah Gaon,חזקיה בן דוד,https://en.wikipedia.org/wiki/Hezekiah_ben_David,https://he.wikipedia.org/wiki/%D7%97%D7%96%D7%A7%D7%99%D7%94_%D7%91%D7%9F_%D7%93%D7%95%D7%93,Q3138729,,,,,,1040,
Biblical,Hezion,חזיון (מלך),https://en.wikipedia.org/wiki/Hezion,,Q5750060,,,,,,,
Biblical,Hezron,חצרון,https://en.wikipedia.org/wiki/Hezron,https://he.wikipedia.org/wiki/%D7%97%D7%A6%D7%A8%D7%95%D7%9F,Q6460268,,,,,,,
Biblical,Hilkiah,חלקיהו בן שלום,https://en.wikipedia.org/wiki/Hilkiah,https://he.wikipedia.org/wiki/%D7%97%D7%9C%D7%A7%D7%99%D7%94%D7%95_%D7%91%D7%9F_%D7%A9%D7%9C%D7%95%D7%9D,Q3276278,Shallum / שלום,,,,,,
Tannaim,Hillel and Shammai,בית הלל ובית שמאי,https://en.wikipedia.org/wiki/Houses_of_Hillel_and_Shammai,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%94%D7%9C%D7%9C_%D7%95%D7%91%D7%99%D7%AA_%D7%A9%D7%9E%D7%90%D7%99,Q3710285,,,,,,,
Tannaim,Hillel International,ארגון הלל,https://en.wikipedia.org/wiki/Hillel_International,https://he.wikipedia.org/wiki/%D7%94%D7%9C%D7%9C_%28%D7%90%D7%A8%D7%92%D7%95%D7%9F%29,Q119945,,,,,,,
Tannaim,Hillel Street,רחוב הלל,https://en.wikipedia.org/wiki/Hillel_Street,https://he.wikipedia.org/wiki/%D7%A8%D7%97%D7%95%D7%91_%D7%94%D7%9C%D7%9C,Q2905224,,,,,,,
Tannaim,Hillel the Elder,הלל הזקן,https://en.wikipedia.org/wiki/Hillel_the_Elder,https://he.wikipedia.org/wiki/%D7%94%D7%9C%D7%9C_%D7%94%D7%96%D7%A7%D7%9F,Q319219,,Shmaya / שמעיה; Abtalion / אבטליון,Jonathan ben Uzziel / יונתן בן עוזיאל; Johanan ben Zakai / רבן יוחנן בן זכאי; Simeon ben Hillel / שמעון בן הלל; House of Hillel / בית הלל,50 BCE; 1c BCE,Babylonia / בבל; Babylon / בבל,0008; 1c,Jerusalem / ירושלים
Tannaim,"Hillel, son of Gamaliel III",רבי הלל,https://en.wikipedia.org/wiki/Hillel%2C_son_of_Gamaliel_III,https://he.wikipedia.org/wiki/%D7%94%D7%9C%D7%9C_%28%D7%91%D7%9F_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9C%29,Q16156905,Gamaliel III / רבן גמליאל ברבי,,,1000,,3c,
Tannaim,Hillula of Rabbi Shimon bar Yochai,הילולת רבי שמעון בר יוחאי,https://en.wikipedia.org/wiki/Hillula_of_Rabbi_Shimon_bar_Yochai,https://he.wikipedia.org/wiki/%D7%94%D7%99%D7%9C%D7%95%D7%9C%D7%AA_%D7%A8%D7%91%D7%99_%D7%A9%D7%9E%D7%A2%D7%95%D7%9F_%D7%91%D7%A8_%D7%99%D7%95%D7%97%D7%90%D7%99,Q18191653,,,,,,,
Amoraim,Hiyya bar Abba,רבי חייא בר אבא,https://en.wikipedia.org/wiki/Hiyya_bar_Abba,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%99%D7%99%D7%90_%D7%91%D7%A8_%D7%90%D7%91%D7%90,Q1072589,,,,0200,Babylonia / בבל,,
Tannaim,Hiyya the Great,רבי חייא,https://en.wikipedia.org/wiki/Hiyya_the_Great,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%99%D7%99%D7%90,Q2904193,Abba bar Acha bar Sallah of Kafri / אבא בר אחא בר סלא מכפרי,,Abba Arika / רב,0180,Babylon / בבל,0230,
Tannaim,Honi ha-M'agel,חוני המעגל,https://en.wikipedia.org/wiki/Honi_HaMe%27agel,https://he.wikipedia.org/wiki/%D7%97%D7%95%D7%A0%D7%99_%D7%94%D7%9E%D7%A2%D7%92%D7%9C,Q2553579,,,,1c BCE,,63 BCE,Jerusalem / ירושלים
Biblical,Hosea,הושע בן בארי,https://en.wikipedia.org/wiki/Hosea,https://he.wikipedia.org/wiki/%D7%94%D7%95%D7%A9%D7%A2_%D7%91%D7%9F_%D7%91%D7%90%D7%A8%D7%99,Q665541,Beeri / בארי (דמות מקראית),Zechariah ben Jehoiada / זכריה בן יהוידע,Amos / עָמוֹס,784 BCE,Kingdom of Israel / ממלכת ישראל המאוחדת,,Safed / צפת
Amoraim,Hoshaiah,רב אושעיא,https://en.wikipedia.org/wiki/Hoshaiah_II,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%90%D7%95%D7%A9%D7%A2%D7%99%D7%90,Q5907959,,,,,Babylon / בבל,0350,Palestine / ארץ ישראל
Amoraim; Tannaim,Hoshaiah Rabbah,רבי אושעיא,https://en.wikipedia.org/wiki/Hoshaiah_Rabbah,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%95%D7%A9%D7%A2%D7%99%D7%90,Q1630319,,,,3c,,3c,
Biblical kings,Hoshea,הושע בן אלה,https://en.wikipedia.org/wiki/Hoshea,https://he.wikipedia.org/wiki/%D7%94%D7%95%D7%A9%D7%A2_%D7%91%D7%9F_%D7%90%D7%9C%D7%94,Q319038,Elah,,,759 BCE,,723 BCE,
Biblical,Huldah,חולדה הנביאה,https://en.wikipedia.org/wiki/Huldah,https://he.wikipedia.org/wiki/%D7%97%D7%95%D7%9C%D7%93%D7%94_%D7%94%D7%A0%D7%91%D7%99%D7%90%D7%94,Q583207,,,,,,,
Tannaim,Huna Kamma,רב הונא קמא,https://en.wikipedia.org/wiki/Huna_Kamma,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%94%D7%95%D7%A0%D7%90_%D7%A7%D7%9E%D7%90,Q2902935,,,,2c,Babylon / בבל,,
Biblical,Hur,חור,https://en.wikipedia.org/wiki/Hur_%28Bible%29,https://he.wikipedia.org/wiki/%D7%97%D7%95%D7%A8_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q492665,Caleb / כלב,,,,,,
Biblical,Hushai,חושי הארכי,https://en.wikipedia.org/wiki/Hushai,https://he.wikipedia.org/wiki/%D7%97%D7%95%D7%A9%D7%99_%D7%94%D7%90%D7%A8%D7%9B%D7%99,Q5949258,,,,,,,
Tannaim,Hutzpit the Interpreter,רבי חוצפית המתורגמן,https://en.wikipedia.org/wiki/Hutzpit_the_Interpreter,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%95%D7%A6%D7%A4%D7%99%D7%AA_%D7%94%D7%9E%D7%AA%D7%95%D7%A8%D7%92%D7%9E%D7%9F,Q65082798,,,,,,,
Biblical,Ibzan,אבצן,https://en.wikipedia.org/wiki/Ibzan,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A6%D7%9F,Q645796,,,,,Bethlehem of Galilee / בית לחם הגלילית,,Bethlehem of Galilee / בית לחם הגלילית
Biblical,Ichabod,אִיכָבוֹד,https://en.wikipedia.org/wiki/Ichabod,https://he.wikipedia.org/wiki/%D7%90%D7%99_%D7%9B%D7%91%D7%95%D7%93,Q4205417,Phinehas / פינחס בן עלי,,,,,,
Biblical,Iddo,עדו הנביא,https://en.wikipedia.org/wiki/Iddo_%28prophet%29,https://he.wikipedia.org/wiki/%D7%A2%D7%93%D7%95_%D7%94%D7%A0%D7%91%D7%99%D7%90,Q3557296,,,,,,,
Tannaim,Ima Shalom,אימא שלום,https://en.wikipedia.org/wiki/Ima_Shalom,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%90_%D7%A9%D7%9C%D7%95%D7%9D,Q16157607,Simeon ben Gamliel / רבן שמעון בן גמליאל הזקן,,,1c,,,
Biblical,Immanuel,עמנו אל,https://en.wikipedia.org/wiki/Immanuel,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%A0%D7%95_%D7%90%D7%9C_%28%D7%93%D7%9E%D7%95%D7%AA_%D7%9E%D7%A7%D7%A8%D7%90%D7%99%D7%AA%29,Q4430779,,,,,,,
